epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.844,1.69414,3.73315,0.01415,0.5997,0.56985,0.5702,0.29867,1.66473,1.80086,0.01634,0.000331349,0.000331349,0.000331349
2,329.177,1.79271,2.1872,0.01585,0.59525,0.51041,0.56143,0.28184,1.79718,1.77539,0.01802,0.000651522,0.000651522,0.000651522
3,485.754,1.85917,2.12127,0.01641,0.60441,0.52553,0.54885,0.26651,1.85799,1.73514,0.0189,0.000958494,0.000958494,0.000958494
4,641.878,1.84933,1.94646,0.01666,0.70176,0.60067,0.65072,0.30153,1.93292,1.53731,0.02049,0.0009406,0.0009406,0.0009406
5,802.113,1.81959,1.86548,0.01608,0.61174,0.55766,0.5644,0.27528,1.80801,1.648,0.01813,0.0009208,0.0009208,0.0009208
6,958.131,1.79275,1.76976,0.01608,0.73117,0.59777,0.6901,0.35964,1.7638,1.38319,0.01752,0.000901,0.000901,0.000901
7,1114.54,1.75602,1.68912,0.01547,0.70173,0.59645,0.65148,0.33674,1.75311,1.46735,0.01708,0.0008812,0.0008812,0.0008812
8,1270.7,1.75192,1.62945,0.01546,0.69138,0.61488,0.67229,0.33957,1.82174,1.41908,0.01877,0.0008614,0.0008614,0.0008614
9,1428.16,1.71537,1.57914,0.01502,0.7702,0.676,0.75925,0.404,1.72148,1.16533,0.01683,0.0008416,0.0008416,0.0008416
10,1586.73,1.69589,1.48485,0.01435,0.74679,0.66746,0.73211,0.39549,1.68879,1.21082,0.01653,0.0008218,0.0008218,0.0008218
11,1742.95,1.69151,1.46431,0.01452,0.75566,0.67471,0.75254,0.41245,1.65579,1.21868,0.0158,0.000802,0.000802,0.000802
12,1905.47,1.67283,1.44794,0.01472,0.79407,0.69053,0.77675,0.43061,1.67613,1.15323,0.01611,0.0007822,0.0007822,0.0007822
13,2066.68,1.64785,1.37565,0.0144,0.74371,0.67105,0.73658,0.40046,1.66818,1.24693,0.01611,0.0007624,0.0007624,0.0007624
14,2223.19,1.64409,1.32016,0.0141,0.79883,0.70292,0.79905,0.43718,1.64998,1.08611,0.01561,0.0007426,0.0007426,0.0007426
15,2384.6,1.61172,1.27594,0.01385,0.77743,0.69651,0.76588,0.43213,1.62575,1.14653,0.01514,0.0007228,0.0007228,0.0007228
16,2541.04,1.60689,1.26529,0.01396,0.82178,0.72088,0.8173,0.45692,1.64755,1.02794,0.01541,0.000703,0.000703,0.000703
17,2706.53,1.5993,1.21754,0.01355,0.82035,0.70995,0.80852,0.44725,1.62872,1.04303,0.01526,0.0006832,0.0006832,0.0006832
18,2868.38,1.55648,1.18299,0.01305,0.83414,0.75588,0.83771,0.47676,1.59441,0.98588,0.01487,0.0006634,0.0006634,0.0006634
