epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.228,1.71062,3.25481,0.01419,0.52549,0.44275,0.48303,0.23567,1.80546,2.0316,0.01848,0.000331349,0.000331349,0.000331349
2,262.589,1.81411,2.09076,0.01587,0.63921,0.50568,0.55196,0.2614,1.82053,1.88392,0.01827,0.000651522,0.000651522,0.000651522
3,387.687,1.8563,2.15657,0.01653,0.54819,0.49356,0.50902,0.2438,1.83808,1.86837,0.01881,0.000958494,0.000958494,0.000958494
4,509.581,1.84839,1.9834,0.01667,0.70697,0.57191,0.62672,0.29786,1.86206,1.60733,0.01887,0.0009406,0.0009406,0.0009406
5,637.321,1.80254,1.89117,0.0158,0.68035,0.62909,0.65852,0.32907,1.74757,1.52377,0.01741,0.0009208,0.0009208,0.0009208
6,764.227,1.78947,1.79832,0.01589,0.67519,0.60902,0.64328,0.32537,1.82116,1.43855,0.01802,0.000901,0.000901,0.000901
7,885.918,1.76861,1.7411,0.01567,0.69074,0.55565,0.62492,0.32542,1.73362,1.55221,0.01684,0.0008812,0.0008812,0.0008812
8,1008.42,1.74775,1.65327,0.01537,0.71999,0.63885,0.69353,0.36647,1.71034,1.41132,0.0166,0.0008614,0.0008614,0.0008614
9,1135.69,1.726,1.58633,0.0151,0.74163,0.64693,0.73179,0.3931,1.68382,1.22703,0.01605,0.0008416,0.0008416,0.0008416
10,1263.94,1.70132,1.53811,0.0144,0.77088,0.70034,0.77504,0.42438,1.63737,1.21895,0.01585,0.0008218,0.0008218,0.0008218
11,1397.83,1.67538,1.46706,0.01438,0.79511,0.68261,0.7645,0.42807,1.67407,1.20322,0.01596,0.000802,0.000802,0.000802
12,1543.23,1.65881,1.41551,0.01448,0.76569,0.68544,0.76139,0.41444,1.65482,1.24774,0.01598,0.0007822,0.0007822,0.0007822
13,1691.57,1.64796,1.41097,0.01443,0.80407,0.66874,0.74725,0.40658,1.67063,1.22198,0.01619,0.0007624,0.0007624,0.0007624
14,1840.05,1.64181,1.36549,0.01397,0.81212,0.67996,0.77335,0.42274,1.6531,1.20578,0.01578,0.0007426,0.0007426,0.0007426
15,1966.32,1.60375,1.31757,0.01377,0.83933,0.7351,0.81,0.44689,1.63308,1.12913,0.01563,0.0007228,0.0007228,0.0007228
16,2116.69,1.61051,1.30175,0.01397,0.79945,0.72475,0.79008,0.43035,1.63453,1.13376,0.01551,0.000703,0.000703,0.000703
17,2265.63,1.59476,1.26222,0.01357,0.826,0.69559,0.78845,0.43061,1.60893,1.13927,0.01498,0.0006832,0.0006832,0.0006832
18,2414.55,1.55671,1.24091,0.01299,0.8454,0.71924,0.81245,0.45937,1.61676,1.08925,0.01512,0.0006634,0.0006634,0.0006634
19,2560.5,1.56257,1.18229,0.01303,0.83963,0.75003,0.82269,0.45099,1.62295,1.01587,0.01506,0.0006436,0.0006436,0.0006436
20,2688.41,1.53653,1.16006,0.01297,0.86105,0.73142,0.82641,0.45758,1.66973,1.006,0.01555,0.0006238,0.0006238,0.0006238
21,2814.76,1.50648,1.11448,0.01255,0.81132,0.75029,0.82894,0.46559,1.59738,1.00064,0.01495,0.000604,0.000604,0.000604
22,2946.8,1.49486,1.1022,0.01297,0.80573,0.75466,0.81843,0.46307,1.60687,1.00968,0.01488,0.0005842,0.0005842,0.0005842
23,3073.29,1.51237,1.07907,0.01237,0.84241,0.75305,0.8375,0.46208,1.6508,0.96331,0.01548,0.0005644,0.0005644,0.0005644
24,3200.7,1.48928,1.07037,0.01239,0.83228,0.76123,0.83476,0.47993,1.6025,0.97751,0.0149,0.0005446,0.0005446,0.0005446
25,3332.31,1.46072,1.00284,0.01202,0.84565,0.78157,0.84176,0.49492,1.58702,1.02179,0.01456,0.0005248,0.0005248,0.0005248
26,3464.97,1.45656,1.02534,0.0124,0.86435,0.74358,0.84403,0.49158,1.59288,0.96107,0.01477,0.000505,0.000505,0.000505
27,3591.62,1.44351,0.99582,0.0119,0.84974,0.75855,0.83891,0.49324,1.57142,0.94551,0.01453,0.0004852,0.0004852,0.0004852
28,3717.29,1.43596,0.94759,0.01161,0.86834,0.76525,0.84831,0.48988,1.58957,0.9312,0.0146,0.0004654,0.0004654,0.0004654
29,3843.67,1.40392,0.93706,0.01171,0.85999,0.75907,0.84827,0.47954,1.60986,0.92512,0.01483,0.0004456,0.0004456,0.0004456
30,3971.09,1.38545,0.92163,0.01147,0.8383,0.78968,0.85466,0.49483,1.60051,0.87521,0.01457,0.0004258,0.0004258,0.0004258
31,4097.37,1.37482,0.8835,0.01138,0.8482,0.79828,0.86115,0.50242,1.60594,0.8877,0.01459,0.000406,0.000406,0.000406
32,4219.91,1.35617,0.8586,0.0112,0.88721,0.78255,0.85906,0.49477,1.61182,0.88375,0.01462,0.0003862,0.0003862,0.0003862
33,4346.86,1.3567,0.84948,0.01088,0.88465,0.78717,0.86792,0.50146,1.58621,0.92917,0.01434,0.0003664,0.0003664,0.0003664
