epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6105,1.64595,4.66626,0.01349,0.41358,0.34859,0.3195,0.17878,1.50273,2.76255,0.01415,0.000331349,0.000331349,0.000331349
2,141.741,1.59192,3.54368,0.01338,0.46984,0.44453,0.44791,0.25342,1.50924,2.03606,0.01439,0.000651522,0.000651522,0.000651522
3,198.499,1.62931,2.91886,0.01376,0.52946,0.47802,0.48553,0.25204,1.67869,1.91631,0.01694,0.000958494,0.000958494,0.000958494
4,254.665,1.64184,2.43513,0.01421,0.60717,0.52246,0.55267,0.29461,1.62833,1.7268,0.01596,0.0009406,0.0009406,0.0009406
5,310.827,1.62824,2.20141,0.01385,0.58392,0.52515,0.57328,0.30857,1.63491,1.67223,0.01529,0.0009208,0.0009208,0.0009208
6,368.011,1.63819,2.02727,0.01417,0.66893,0.54659,0.59999,0.32772,1.60788,1.62046,0.01515,0.000901,0.000901,0.000901
7,424.13,1.62045,1.92882,0.01393,0.64209,0.55625,0.61778,0.34773,1.57381,1.49478,0.01462,0.0008812,0.0008812,0.0008812
8,480.633,1.61931,1.85317,0.01385,0.7254,0.5733,0.65878,0.33722,1.6697,1.5022,0.01657,0.0008614,0.0008614,0.0008614
9,537.268,1.62732,1.76474,0.01395,0.66125,0.60465,0.66052,0.37171,1.5938,1.43876,0.01514,0.0008416,0.0008416,0.0008416
10,594.901,1.61531,1.69408,0.01339,0.69164,0.61708,0.67314,0.36428,1.63193,1.37862,0.01548,0.0008218,0.0008218,0.0008218
11,651.515,1.58898,1.63516,0.01338,0.72256,0.643,0.71448,0.40734,1.60152,1.3544,0.01517,0.000802,0.000802,0.000802
12,708.209,1.59437,1.6038,0.01367,0.75426,0.62511,0.71317,0.40286,1.59163,1.33375,0.01521,0.0007822,0.0007822,0.0007822
13,766.728,1.59535,1.56736,0.01371,0.76465,0.66421,0.73324,0.41405,1.65208,1.23412,0.01605,0.0007624,0.0007624,0.0007624
14,823.552,1.59229,1.53307,0.01328,0.77013,0.67485,0.76036,0.4373,1.56374,1.20999,0.01458,0.0007426,0.0007426,0.0007426
15,879.539,1.55776,1.49033,0.01318,0.76841,0.65476,0.73606,0.4159,1.60373,1.25456,0.01512,0.0007228,0.0007228,0.0007228
16,935.939,1.58279,1.46843,0.01353,0.77417,0.67738,0.76372,0.43261,1.61327,1.21135,0.01502,0.000703,0.000703,0.000703
17,994.99,1.56325,1.4354,0.01298,0.7775,0.6435,0.72616,0.42289,1.55687,1.21284,0.01449,0.0006832,0.0006832,0.0006832
18,1052.14,1.54274,1.40099,0.01279,0.80092,0.66931,0.75985,0.43151,1.63593,1.19689,0.01525,0.0006634,0.0006634,0.0006634
19,1109.07,1.55103,1.35739,0.01269,0.77052,0.67528,0.75478,0.43589,1.58568,1.16412,0.0144,0.0006436,0.0006436,0.0006436
20,1166.15,1.52384,1.35195,0.0127,0.78585,0.66115,0.76706,0.43429,1.61465,1.15695,0.015,0.0006238,0.0006238,0.0006238
21,1222.75,1.50895,1.30694,0.01236,0.79746,0.67869,0.78018,0.44251,1.60282,1.13143,0.01511,0.000604,0.000604,0.000604
22,1279.46,1.49854,1.29724,0.01274,0.78888,0.70843,0.78591,0.4507,1.56481,1.11108,0.01448,0.0005842,0.0005842,0.0005842
23,1336.33,1.51768,1.284,0.01223,0.80258,0.69643,0.78771,0.45384,1.57961,1.0872,0.01441,0.0005644,0.0005644,0.0005644
24,1394.18,1.50732,1.25942,0.01236,0.8128,0.72582,0.80583,0.4666,1.58542,1.05007,0.01451,0.0005446,0.0005446,0.0005446
25,1451.22,1.50187,1.19741,0.01236,0.8348,0.70919,0.80508,0.46091,1.64149,1.04529,0.01505,0.0005248,0.0005248,0.0005248
26,1508.14,1.48276,1.20527,0.01239,0.79944,0.71842,0.80571,0.47097,1.5707,1.05469,0.01437,0.000505,0.000505,0.000505
27,1565.5,1.48176,1.19283,0.01206,0.80491,0.70758,0.79711,0.46932,1.56944,1.0741,0.01428,0.0004852,0.0004852,0.0004852
28,1623.12,1.47587,1.17312,0.01174,0.81944,0.70955,0.8052,0.47326,1.5733,1.03487,0.01416,0.0004654,0.0004654,0.0004654
29,1681.28,1.45279,1.15165,0.01193,0.80909,0.70193,0.79553,0.47354,1.55929,1.01835,0.01408,0.0004456,0.0004456,0.0004456
30,1741.11,1.4524,1.12597,0.01191,0.80457,0.73085,0.79717,0.46182,1.57592,1.0497,0.01445,0.0004258,0.0004258,0.0004258
31,1799.39,1.43802,1.10779,0.01166,0.83141,0.73112,0.811,0.47892,1.56977,1.0178,0.01407,0.000406,0.000406,0.000406
32,1856.26,1.42757,1.08182,0.01157,0.82949,0.72969,0.8148,0.48039,1.57495,1.00829,0.01405,0.0003862,0.0003862,0.0003862
