epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5514,1.73294,4.0969,0.01438,0.62178,0.51044,0.56994,0.28204,1.68996,2.50961,0.01605,0.000331349,0.000331349,0.000331349
2,165.098,1.74604,2.24499,0.01507,0.57099,0.51926,0.53458,0.26533,1.83563,2.02829,0.01778,0.000651522,0.000651522,0.000651522
3,231.732,1.78873,2.08585,0.01563,0.62328,0.52415,0.56173,0.28015,1.78152,1.84756,0.01822,0.000958494,0.000958494,0.000958494
4,297.528,1.78897,1.93294,0.01591,0.60038,0.52938,0.54326,0.25903,1.83758,2.03599,0.01901,0.0009406,0.0009406,0.0009406
5,363.874,1.75581,1.84934,0.01515,0.62389,0.56247,0.58401,0.30243,1.79138,1.63171,0.01791,0.0009208,0.0009208,0.0009208
6,430.404,1.75286,1.75345,0.01548,0.65621,0.60431,0.64954,0.33475,1.74871,1.50685,0.01735,0.000901,0.000901,0.000901
7,497.462,1.73315,1.70073,0.01522,0.72504,0.60428,0.69317,0.35422,1.70353,1.43238,0.01661,0.0008812,0.0008812,0.0008812
8,564.442,1.72403,1.62158,0.01499,0.72116,0.65059,0.71807,0.37549,1.70632,1.32632,0.01684,0.0008614,0.0008614,0.0008614
9,631.5,1.69698,1.5875,0.01475,0.69738,0.65462,0.70668,0.38532,1.63398,1.30764,0.01567,0.0008416,0.0008416,0.0008416
10,698.356,1.70289,1.52015,0.01436,0.73481,0.65989,0.72506,0.38961,1.65209,1.26961,0.0159,0.0008218,0.0008218,0.0008218
11,765.244,1.65461,1.46476,0.01405,0.71245,0.68571,0.73567,0.40955,1.62902,1.23645,0.01542,0.000802,0.000802,0.000802
12,832.012,1.63995,1.42048,0.01432,0.78678,0.67564,0.76982,0.43348,1.64536,1.17485,0.0154,0.0007822,0.0007822,0.0007822
13,900.011,1.6367,1.40389,0.01423,0.75783,0.6581,0.74889,0.41129,1.6635,1.25695,0.01591,0.0007624,0.0007624,0.0007624
14,967.313,1.62022,1.3599,0.01374,0.75801,0.70848,0.78037,0.43321,1.61251,1.18627,0.01518,0.0007426,0.0007426,0.0007426
15,1034.33,1.59998,1.31648,0.01371,0.83586,0.69417,0.80643,0.45206,1.62013,1.07264,0.01509,0.0007228,0.0007228,0.0007228
16,1101.27,1.60696,1.30746,0.01385,0.77157,0.7026,0.78295,0.43807,1.60417,1.12385,0.01482,0.000703,0.000703,0.000703
17,1168.15,1.5853,1.25146,0.01334,0.80451,0.68777,0.78042,0.43985,1.6216,1.12713,0.01529,0.0006832,0.0006832,0.0006832
18,1235.2,1.55596,1.24863,0.01295,0.81841,0.71599,0.80159,0.44702,1.64683,1.12425,0.0155,0.0006634,0.0006634,0.0006634
19,1302.65,1.54895,1.20329,0.01274,0.82161,0.73089,0.80739,0.45609,1.61887,1.07551,0.0153,0.0006436,0.0006436,0.0006436
20,1370.68,1.53676,1.18634,0.01298,0.79676,0.71627,0.79429,0.42722,1.69636,1.04546,0.01567,0.0006238,0.0006238,0.0006238
21,1437.98,1.51647,1.14743,0.01257,0.82528,0.74881,0.8248,0.4724,1.58312,0.99915,0.01461,0.000604,0.000604,0.000604
22,1505.29,1.50335,1.11865,0.01293,0.80805,0.71334,0.79387,0.44913,1.59903,1.06635,0.01501,0.0005842,0.0005842,0.0005842
23,1572.38,1.5213,1.11804,0.01235,0.85785,0.7306,0.83874,0.46728,1.59635,0.99098,0.01474,0.0005644,0.0005644,0.0005644
24,1639.76,1.47896,1.08569,0.01226,0.81428,0.76126,0.82246,0.46931,1.58878,1.0189,0.01467,0.0005446,0.0005446,0.0005446
25,1706.87,1.47145,1.02939,0.01205,0.8273,0.7589,0.83667,0.4749,1.6185,0.98507,0.01475,0.0005248,0.0005248,0.0005248
26,1774.77,1.46905,1.04196,0.01246,0.86636,0.75781,0.83562,0.4776,1.58555,0.97089,0.01447,0.000505,0.000505,0.000505
27,1842.17,1.43945,1.01889,0.01173,0.86196,0.74376,0.84665,0.49239,1.57561,0.9486,0.01437,0.0004852,0.0004852,0.0004852
28,1909.85,1.43911,0.99924,0.01152,0.85826,0.76629,0.8521,0.49673,1.57352,0.91209,0.0145,0.0004654,0.0004654,0.0004654
29,1977.64,1.42195,0.98306,0.01175,0.83914,0.75644,0.84023,0.48235,1.60632,0.97141,0.0146,0.0004456,0.0004456,0.0004456
30,2044.98,1.40822,0.94554,0.01155,0.83116,0.77818,0.84825,0.49552,1.57204,0.92067,0.01414,0.0004258,0.0004258,0.0004258
31,2112.92,1.39626,0.93078,0.01147,0.82153,0.791,0.84896,0.48515,1.56306,0.93699,0.0141,0.000406,0.000406,0.000406
32,2181.46,1.37992,0.91095,0.01124,0.83618,0.76745,0.84695,0.49985,1.54403,0.91144,0.01379,0.0003862,0.0003862,0.0003862
33,2249.24,1.37683,0.90619,0.01096,0.89874,0.74686,0.85601,0.48547,1.59521,0.93316,0.01439,0.0003664,0.0003664,0.0003664
34,2316.8,1.35214,0.88333,0.01089,0.85579,0.77429,0.85684,0.49471,1.58379,0.92005,0.01435,0.0003466,0.0003466,0.0003466
35,2384.29,1.34027,0.85156,0.01107,0.82828,0.79017,0.8532,0.49739,1.55902,0.94734,0.01388,0.0003268,0.0003268,0.0003268
36,2451.89,1.33158,0.85008,0.01086,0.84325,0.7915,0.85267,0.50101,1.57454,0.90808,0.01406,0.000307,0.000307,0.000307
37,2518.81,1.32491,0.83217,0.01064,0.85029,0.76182,0.84071,0.50081,1.56963,0.93089,0.0141,0.0002872,0.0002872,0.0002872
38,2586.67,1.30949,0.8023,0.01035,0.86693,0.77932,0.8653,0.51534,1.5683,0.86486,0.01406,0.0002674,0.0002674,0.0002674
39,2654.08,1.29853,0.78977,0.0102,0.86178,0.77556,0.85766,0.50654,1.56098,0.89458,0.01391,0.0002476,0.0002476,0.0002476
40,2721.18,1.2744,0.79583,0.0101,0.84076,0.81222,0.8609,0.50458,1.58272,0.8862,0.01411,0.0002278,0.0002278,0.0002278
41,2788.21,1.19957,0.52165,0.01157,0.88136,0.78316,0.85904,0.4934,1.61214,0.91741,0.01445,0.000208,0.000208,0.000208
42,2853.81,1.16352,0.48803,0.01091,0.87137,0.79282,0.86674,0.50236,1.59441,0.84711,0.01433,0.0001882,0.0001882,0.0001882
43,2918.91,1.14165,0.48673,0.01095,0.88297,0.77376,0.85932,0.50456,1.57613,0.87071,0.01412,0.0001684,0.0001684,0.0001684
44,2984.05,1.136,0.47579,0.01058,0.87721,0.76489,0.859,0.50306,1.58689,0.90188,0.01429,0.0001486,0.0001486,0.0001486
45,3049.07,1.11544,0.46541,0.01031,0.86075,0.77913,0.85595,0.50598,1.57289,0.9155,0.014,0.0001288,0.0001288,0.0001288
46,3114.43,1.10049,0.45307,0.01022,0.87281,0.78774,0.86511,0.50632,1.58424,0.87756,0.01416,0.000109,0.000109,0.000109
47,3179.46,1.07696,0.44026,0.01006,0.89669,0.75912,0.86256,0.50671,1.58417,0.88778,0.01411,8.92e-05,8.92e-05,8.92e-05
48,3244.42,1.07946,0.44131,0.00999,0.85975,0.78615,0.86389,0.50989,1.57598,0.88796,0.01405,6.94e-05,6.94e-05,6.94e-05
